DNI;Nombre;Ocupacion;Estado Civil;Ingreso Mensual;Edad;Sexo
66367741;Marino Boix-Lopez;Psicologo;Soltero/a;1554;66;M
91472616;Celso Adan-Mayoral;Arquitecto;Soltero/a;6074;59;M
21992718;Abraham Palmer Cerezo;Analista de datos;Casado/a;1030;54;F
11946174;America Melisa Arevalo Granados;Programador;Divorciado/a;2879;72;F
84950252;Emperatriz Velez-Galiano;Arquitecto;Casado/a;1598;66;M
35087546;Jose Antonio del Bravo;Cientifico;Soltero/a;6404;70;M
35458217;Rafael Posada;Bombero;Soltero/a;6655;56;M
56447191;Gregorio Tome;Abogado;Viudo/a;10789;18;M
3194522;Teodosio Solana Davila;Bombero;Divorciado/a;13094;75;M
38394603;Susana Gallo;Ingeniero;Casado/a;3292;59;F
50184991;Paulina Vall Correa;Plomero;Soltero/a;3719;50;F
87236611;Heriberto Boada Ferrandiz;Veterinario;Soltero/a;18389;50;M
90021094;Vicente Suarez Real;Comerciante;Divorciado/a;2773;50;M
97169078;Virginia de Peralta;Cientifico;Casado/a;11361;22;F
95189528;Veronica Ramona Molina Ruiz;Biotecnologo;Viudo/a;9021;68;F
53344329;Rodrigo Samper-Alamo;Policia;Divorciado/a;18744;61;M
61788886;Guadalupe Capdevila;Arquitecto;Soltero/a;1876;44;F
67837718;Pastora de Exposito;Gerente;Soltero/a;2650;73;M
29924258;Bienvenida Arco Quiroga;Abogado;Casado/a;7289;61;F
50162953;Federico Gracia Pineiro;Cientifico;Divorciado/a;6239;78;M
87378498;Maria Belen Gracia Prats;Carpintero;Casado/a;10143;33;M
6446977;Manuelita del Corbacho;Disenador;Divorciado/a;4233;19;F
74676067;Valentin Baena-Flores;Veterinario;Divorciado/a;2073;50;F
31044809;Ricardo Clemente Marques Franch;Plomero;Soltero/a;10594;27;M
36302048;Martin Pascual;Electricista;Soltero/a;6662;66;F
11795027;Candido Palmer Aroca;Veterinario;Casado/a;16773;24;F
93333460;Luis Angel Marmol Cuesta;Plomero;Divorciado/a;10052;39;M
44731471;Faustino Graciano Montes Muniz;Gerente;Casado/a;1966;39;M
6741039;Cesar del Sedano;Policia;Divorciado/a;1597;55;M
29600799;Sigfrido Galindo Paniagua;Marketing Digital;Casado/a;9537;35;F
69460673;Berto Bartolome;Ingeniero;Viudo/a;1564;20;M
39604181;Buenaventura Briones Matas;Arquitecto;Viudo/a;2971;49;M
65684365;Alberto Solana Adadia;Disenador;Viudo/a;1977;39;M
66860159;Aurora Busquets Rossello;Disenador;Viudo/a;13949;31;M
73082488;Ramiro Pelayo Segui;Veterinario;Casado/a;3785;35;F
32953932;Ernesto Montoya Zamora;Contador;Divorciado/a;4966;40;F
45688409;Mar Mateo-Melero;Chef;Casado/a;7552;32;F
86591132;Desiderio Vidal Aguado Prats;Policia;Divorciado/a;6755;28;F
42494740;Basilio Morillo Sola;Biotecnologo;Divorciado/a;11036;79;F
20511212;Guiomar Luque Naranjo;Psicologo;Viudo/a;16762;66;M
93885834;Leonel Monreal Real;Futbolista;Divorciado/a;2594;62;M
45192216;Elena Torrents Paez;Abogado;Soltero/a;8431;70;F
91653151;Ester Llano Anglada;Arquitecto;Soltero/a;4158;27;F
32609165;Genoveva Pazos Llorente;Disenador;Divorciado/a;7205;21;F
85248428;Eliana Poza Sosa;Carpintero;Soltero/a;13768;61;M
16200164;Martirio Puente Adadia;Psicologo;Casado/a;4794;66;M
53018599;Olivia Macias Sedano;Tecnico de laboratorio;Casado/a;10657;55;M
45853276;Camila Debora Yanez Bermudez;Analista de datos;Divorciado/a;2175;74;M
82511337;Daniel Ribes-Artigas;Analista de datos;Soltero/a;1467;77;M
46669504;Trini del Vazquez;Arquitecto;Soltero/a;5147;39;M
30942345;Juanito Abril Vidal;Veterinario;Divorciado/a;5054;52;F
7401263;Anna Perla Alvaro Bermudez;Medico;Viudo/a;3493;68;F
80685509;Sol del Duran;Psicologo;Casado/a;7816;51;M
616871;Silvio Carballo Cardona;Electricista;Viudo/a;13636;54;M
31876477;Amilcar Zamora Alvaro;Programador;Divorciado/a;9377;34;F
58545164;Lucio Nicolas Martinez;Biotecnologo;Viudo/a;1935;58;M
46857910;Jordan Valenzuela-Pujol;Medico;Casado/a;5767;68;M
59054166;Angelino Gamez;Cientifico;Viudo/a;1893;60;F
29354411;Bautista Morales-Campoy;Biotecnologo;Viudo/a;8808;49;M
6520870;Samuel Alvarez Sans;Plomero;Divorciado/a;6537;42;M
37856134;Gonzalo Botella Pellicer;Analista de datos;Viudo/a;14257;42;F
9341386;Silvestre Buenaventura Cespedes Teruel;Bombero;Divorciado/a;16773;36;M
50303690;David Jauregui Silva;Fotografo;Divorciado/a;1410;56;F
5088718;Alondra Juana Vina Contreras;Psicologo;Viudo/a;1171;21;M
52183017;Lazaro Cases Miguel;Chef;Divorciado/a;11180;42;M
92023391;Eufemia Borja-Saavedra;Consultor;Divorciado/a;7781;27;F
94453967;Martina Gelabert;Arquitecto;Casado/a;9222;75;F
