DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
88935813,Jennifer Gallego Alberdi,Agricultor,Casado/a,1690,72,M
52393531,Adan Calderon,Tecnico de laboratorio,Divorciado/a,3215,28,M
11827372,Encarnacion Sobrino Capdevila,Electricista,Divorciado/a,6477,50,M
94948593,Concha Natividad Agudo Gallego,Cantante,Casado/a,7195,72,M
20612074,Alberto del Checa,Psicologo,Divorciado/a,1392,64,F
75079835,Dominga Miranda Ribera,Fotografo,Casado/a,16558,25,F
31175508,Dionisia Cordoba Molina,Plomero,Viudo/a,6233,59,M
71294777,Isa Duran Verdugo,Abogado,Soltero/a,1220,58,F
11071594,Donato Cervera Saenz,Medico,Casado/a,1987,50,F
42965745,Malena Gutierrez Comas,Plomero,Casado/a,1558,27,F
17091334,Saturnina Mugica Ribes,Bombero,Soltero/a,2477,58,F
53206420,Evelia Llamas Rodriguez,Enfermero,Viudo/a,6300,27,F
14537422,Calixta Rosenda Tolosa Padilla,Psicologo,Viudo/a,19678,27,M
33912024,Petrona Saura Tejedor,Analista de datos,Divorciado/a,2775,53,M
90692416,Odalis Feliu Muniz,Enfermero,Casado/a,1031,66,M
33391564,Sarita Vina Marino,Consultor,Soltero/a,4312,43,F
47200938,Fanny Leticia Marcos Ribera,Plomero,Divorciado/a,1896,68,F
41910278,Eliana Aguado Rios,Tecnico de laboratorio,Divorciado/a,17048,66,F
68210150,Aitor Cepeda-Alberola,Analista de datos,Casado/a,7809,41,M
14293279,Susana Landa Mendoza,Programador,Viudo/a,6843,50,M
26382489,Felicidad Pedrero Ayllon,Policia,Soltero/a,2420,56,M
55001744,Lucas Jose Manuel Almazan Saez,Enfermero,Divorciado/a,8273,79,F
45251081,Carolina Melero Roman,Chef,Viudo/a,9769,48,M
91999251,Sara Linares-Nogues,Comerciante,Viudo/a,2785,28,M
17141900,Jafet Poncio Vigil Pinol,Actor,Soltero/a,9790,47,F
60045517,Macaria Iriarte,Plomero,Viudo/a,18972,47,M
41372764,Tatiana Amada Ricart Dieguez,Cientifico,Casado/a,7258,42,F
14502709,Felipa Francisco Busquets,Consultor,Casado/a,9196,30,M
